unique_geneID	seqnames	start	end	width	strand	PID1185_peak_detected	PID1180_peak_detected	ND_RJH_peak_detected	ND_MK_peak_detected	PID1185_counts	PID1180_counts	ND_RJH_counts	ND_MK_counts	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
100287102_chr1_10069_10251	chr1	10069	10251	183	*	TRUE	TRUE	TRUE	FALSE	10	10	9	8	Promoter (1-2kb)	1	11869	14409	2541	1	100287102	-1618	ENSG00000223972	DDX11L1	DEAD/H-box helicase 11 like 1 (pseudogene)
102725121_chr1_180659_181039	chr1	180659	181039	381	*	TRUE	TRUE	TRUE	FALSE	10	10	16	8	Promoter (1-2kb)	1	182696	184174	1479	1	102725121	-1657	ENSG00000223972	DDX11L17	DEAD/H-box helicase 11 like 17 (pseudogene)
100288069_chr1_778483_779112	chr1	778483	779112	630	*	TRUE	TRUE	TRUE	TRUE	73	41	43	28	Promoter (<=1kb)	1	711867	778626	66760	2	100288069	0	NA	LOC100288069	uncharacterized LOC100288069
284593_chr1_869692_870034	chr1	869692	870034	343	*	TRUE	TRUE	FALSE	TRUE	12	21	14	22	Intron (ENST00000446136.1/284593, intron 2 of 2)	1	868071	877234	9164	2	284593	7200	ENSG00000230368	FAM41C	family with sequence similarity 41 member C
284600_chr1_904357_904870	chr1	904357	904870	514	*	TRUE	TRUE	TRUE	FALSE	35	29	31	18	Exon (ENST00000607769.1/ENST00000607769.1, exon 1 of 2)	1	911435	914948	3514	1	284600	-6565	NA	LOC284600	uncharacterized LOC284600
84069_chr1_966830_967191	chr1	966830	967191	362	*	TRUE	TRUE	TRUE	FALSE	25	24	29	26	Promoter (<=1kb)	1	966482	975865	9384	1	84069	348	ENSG00000187583	PLEKHN1	pleckstrin homology domain containing N1
375790_chr1_1013366_1013678	chr1	1013366	1013678	313	*	TRUE	TRUE	TRUE	FALSE	22	27	23	21	5' UTR	1	1020120	1056118	35999	1	375790	-6442	ENSG00000188157	AGRN	agrin
375790_chr1_1032913_1033400	chr1	1032913	1033400	488	*	TRUE	TRUE	TRUE	FALSE	51	39	46	30	Intron (ENST00000379370.7/375790, intron 2 of 35)	1	1020120	1056118	35999	1	375790	12793	ENSG00000188157	AGRN	agrin
100288175_chr1_1059386_1059820	chr1	1059386	1059820	435	*	TRUE	TRUE	TRUE	FALSE	37	43	35	34	Promoter (<=1kb)	1	1059687	1069355	9669	1	100288175	0	ENSG00000217801	LOC100288175	uncharacterized LOC100288175
100288175_chr1_1064144_1064594	chr1	1064144	1064594	451	*	TRUE	TRUE	TRUE	TRUE	61	45	58	45	Exon (ENST00000688131.1/100288175, exon 4 of 5)	1	1059687	1069355	9669	1	100288175	4457	ENSG00000217801	LOC100288175	uncharacterized LOC100288175
54991_chr1_1115881_1116719	chr1	1115881	1116719	839	*	TRUE	TRUE	TRUE	TRUE	102	73	65	59	Promoter (<=1kb)	1	1081818	1116361	34544	2	54991	0	ENSG00000131591	C1orf159	chromosome 1 open reading frame 159
8784_chr1_1201300_1201800	chr1	1201300	1201800	501	*	TRUE	TRUE	TRUE	TRUE	53	48	76	40	Distal Intergenic	1	1203508	1206592	3085	2	8784	4792	ENSG00000186891	TNFRSF18	TNF receptor superfamily member 18
51150_chr1_1231685_1232215	chr1	1231685	1232215	531	*	TRUE	TRUE	TRUE	FALSE	50	57	58	30	Promoter (<=1kb)	1	1216909	1232067	15159	2	51150	0	ENSG00000078808	SDF4	stromal cell derived factor 4
118424_chr1_1273685_1274162	chr1	1273685	1274162	478	*	TRUE	TRUE	TRUE	FALSE	36	41	40	19	Promoter (<=1kb)	1	1253909	1273864	19956	2	118424	0	ENSG00000160087	UBE2J2	ubiquitin conjugating enzyme E2 J2
